Tietuetunnus,Ajopäivämäärä,Postinumero,Postinumeron nimi suomeksi,Postinumeron nimi ruotsiksi,Postinumeron nimen lyhenne suomeksi,Postinumeron nimen lyhenne ruotsiksi,Voimaantulopäivämäärä,Tyyppikoodi,Hallinnollisen alueen koodi ,Hallinnollisen alueen nimi suomeksi,Hallinnollisen alueen ruotsiksi,Kunnan koodi,Kunnan nimi suomeksi,Kunnan nimi ruotsiksi,Kunnan kielisuhdekoodi
PONOT,20200721,79700,HEINÄVESI,HEINÄVESI,,,19881101,1,FI1D1,Etelä-Savo,Södra Savolax,090,Heinävesi,Heinävesi,1
PONOT,20200721,86240,PYHÄNKOSKI,PYHÄNKOSKI,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,483,Merijärvi,Merijärvi,1
PONOT,20200721,97390,KIERINKI,KIERINKI,,,19860101,1,FI1D7,Lappi,Lappland,758,Sodankylä,Sodankylä,1
PONOT,20200721,00900,HELSINKI,HELSINGFORS,HKI,HFORS,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,02760,ESPOO,ESBO,,,19960829,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,049,Espoo,Esbo,2
PONOT,20200721,07590,ASKOLA,ASKOLA,,,20190101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,018,Askola,Askola,1
PONOT,20200721,13720,PAROLA,PAROLA,,,19881001,1,FI1C2,Kanta-Häme,Egentliga Tavastland,082,Hattula,Hattula,1
PONOT,20200721,50350,NOROLA,NOROLA,,,19880101,1,FI1D1,Etelä-Savo,Södra Savolax,491,Mikkeli,S:t Michel,1
PONOT,20200721,55700,IMATRA,IMATRA,,,19881101,1,FI1C5,Etelä-Karjala,Södra Karelen,153,Imatra,Imatra,1
PONOT,20200721,56800,SIMPELE,SIMPELE,,,19970303,1,FI1C5,Etelä-Karjala,Södra Karelen,689,Rautjärvi,Rautjärvi,1
PONOT,20200721,64260,KASKINEN,KASKÖ,,,19970616,1,FI195,Pohjanmaa,Österbotten,231,Kaskinen,Kaskö,2
PONOT,20200721,70101,KUOPIO,KUOPIO,,,19890313,2,FI1D2,Pohjois-Savo,Norra Savolax,297,Kuopio,Kuopio,1
PONOT,20200721,74250,NISSILÄ,NISSILÄ,,,19860101,1,FI1D2,Pohjois-Savo,Norra Savolax,925,Vieremä,Vieremä,1
PONOT,20200721,80130,JOENSUU,JOENSUU,JS,,19961001,1,FI1D3,Pohjois-Karjala,Norra Karelen,167,Joensuu,Joensuu,1
PONOT,20200721,03220,TERVALAMPI,TERVALAMPI,,,19880405,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,927,Vihti,Vichtis,1
PONOT,20200721,07910,VALKO,VALKOM,,,19881101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,434,Loviisa,Lovisa,2
PONOT,20200721,14610,LEPAA,LEPAA,,,19990406,1,FI1C2,Kanta-Häme,Egentliga Tavastland,082,Hattula,Hattula,1
PONOT,20200721,15141,LAHTI,LAHTI,,,19900101,2,FI1C3,Päijät-Häme,Päijänne-Tavastland,398,Lahti,Lahtis,1
PONOT,20200721,19650,JOUTSA,JOUTSA,,,19881101,1,FI193,Keski-Suomi,Mellersta Finland,172,Joutsa,Joutsa,1
PONOT,20200721,32560,VIRTTAA,VIRTTAA,,,19970623,1,FI1C1,Varsinais-Suomi,Egentliga Finland,430,Loimaa,Loimaa,1
PONOT,20200721,35750,VÄÄRINMAJA,VÄÄRINMAJA,,,19960301,1,FI197,Pirkanmaa,Birkaland,702,Ruovesi,Ruovesi,1
PONOT,20200721,39501,IKAALINEN,IKAALINEN,,,19951031,2,FI197,Pirkanmaa,Birkaland,143,Ikaalinen,Ikalis,1
PONOT,20200721,39965,KARVIANKYLÄ,KARVIANKYLÄ,,,19860101,1,FI196,Satakunta,Satakunda,230,Karvia,Karvia,1
PONOT,20200721,43520,KIMINKI,KIMINKI,,,19860101,1,FI193,Keski-Suomi,Mellersta Finland,226,Karstula,Karstula,1
PONOT,20200721,48710,KOTKA,KOTKA,,,20060501,1,FI1C4,Kymenlaakso,Kymmenedalen,285,Kotka,Kotka,1
PONOT,20200721,70500,KUOPIO,KUOPIO,KUO,,19860101,1,FI1D2,Pohjois-Savo,Norra Savolax,297,Kuopio,Kuopio,1
PONOT,20200721,74670,RAPAKKOJOKI,RAPAKKOJOKI,,,19860101,1,FI1D2,Pohjois-Savo,Norra Savolax,263,Kiuruvesi,Kiuruvesi,1
PONOT,20200721,80770,KONTIOLAHTI AS,KONTIOLAHTI AS,KONTIOLH AS,,19860101,1,FI1D3,Pohjois-Karjala,Norra Karelen,276,Kontiolahti,Kontiolahti,1
PONOT,20200721,83940,NUNNANLAHTI,NUNNANLAHTI,,,19880901,1,FI1D3,Pohjois-Karjala,Norra Karelen,176,Juuka,Juuka,1
PONOT,20200721,99450,PALOJOENSUU,PALOJOENSUU,,,19860101,1,FI1D7,Lappi,Lappland,047,Enontekiö,Enontekis,1
PONOT,20200721,99670,PETKULA,PETKULA,,,19970131,1,FI1D7,Lappi,Lappland,758,Sodankylä,Sodankylä,1
PONOT,20200721,00331,HELSINKI,HELSINGFORS,,,19881101,2,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,00511,HELSINKI,HELSINGFORS,,,19881001,2,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,00650,HELSINKI,HELSINGFORS,HKI,HFORS,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,02140,ESPOO,ESBO,,,19960228,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,049,Espoo,Esbo,2
PONOT,20200721,08501,LOHJA,LOJO,,,20060929,2,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,444,Lohja,Lojo,2
PONOT,20200721,30420,FORSSA,FORSSA,FRS,,19981127,1,FI1C2,Kanta-Häme,Egentliga Tavastland,061,Forssa,Forssa,1
PONOT,20200721,36430,SAHALAHTI,SAHALAHTI,,,19881101,1,FI197,Pirkanmaa,Birkaland,211,Kangasala,Kangasala,1
PONOT,20200721,40400,JYVÄSKYLÄ,JYVÄSKYLÄ,JKL,,19970224,1,FI193,Keski-Suomi,Mellersta Finland,179,Jyväskylä,Jyväskylä,1
PONOT,20200721,44170,HIETAMA,HIETAMA,,,19860101,1,FI193,Keski-Suomi,Mellersta Finland,992,Äänekoski,Äänekoski,1
PONOT,20200721,63920,INHA,INHA,,,19881101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,989,Ähtäri,Etseri,1
PONOT,20200721,68920,FORSBY,FORSBY,,,19861001,1,FI195,Pohjanmaa,Österbotten,599,Pedersöre,Pedersöre,1
PONOT,20200721,91750,LIMINPURO,LIMINPURO,,,19860101,1,FI1D4,Kainuu,Kajanaland,785,Vaala,Vaala,1
PONOT,20200721,95410,TORNIO,TORNIO,,,20090101,1,FI1D7,Lappi,Lappland,851,Tornio,Torneå,1
PONOT,20200721,95640,JUOKSENKI,JUOKSENKI,,,19860101,1,FI1D7,Lappi,Lappland,854,Pello,Pello,1
PONOT,20200721,00022,TILASTOKESKUS,STATISTIKCENTRALEN,TILASTOK,,19940101,3,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,00760,HELSINKI,HELSINGFORS,HKI,HFORS,19951209,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,02320,ESPOO,ESBO,,,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,049,Espoo,Esbo,2
PONOT,20200721,21660,NAUVO,NAGU,,,19881101,1,FI1C1,Varsinais-Suomi,Egentliga Finland,445,Parainen,Pargas,2
PONOT,20200721,26930,VERMUNTILA,VERMUNTILA,,,19860101,1,FI196,Satakunta,Satakunda,684,Rauma,Raumo,1
PONOT,20200721,31380,LETKU,LETKU,,,19880822,1,FI1C2,Kanta-Häme,Egentliga Tavastland,834,Tammela,Tammela,1
PONOT,20200721,34510,LUODE,LUODE,,,19860101,1,FI197,Pirkanmaa,Birkaland,980,Ylöjärvi,Ylöjärvi,1
PONOT,20200721,52980,AHVENAINEN,AHVENAINEN,,,19860101,1,FI1D1,Etelä-Savo,Södra Savolax,507,Mäntyharju,Mäntyharju,1
PONOT,20200721,62720,SISSALA,SISSALA,,,19900501,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,005,Alajärvi,Alajärvi,1
PONOT,20200721,89110,TÖRMÄNMÄKI,TÖRMÄNMÄKI,,,19860101,1,FI1D4,Kainuu,Kajanaland,620,Puolanka,Puolanka,1
PONOT,20200721,92180,LAPALUOTO,LAPALUOTO,,,19881101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,678,Raahe,Brahestad,1
PONOT,20200721,95840,VENEJÄRVENKYLÄ,VENEJÄRVENKYLÄ,VENEJÄRVENKL,,19860101,1,FI1D7,Lappi,Lappland,273,Kolari,Kolari,1
PONOT,20200721,98850,KUOSKU,KUOSKU,,,19860101,1,FI1D7,Lappi,Lappland,742,Savukoski,Savukoski,1
PONOT,20200721,04380,TUUSULA,TUUSULA,,,20020201,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,858,Tuusula,Tusby,1
PONOT,20200721,00081,A-LEHDET,A-LEHDET,,,19940525,3,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,11111,RIIHIMÄKI,RIIHIMÄKI,RHM,,19881101,2,FI1C2,Kanta-Häme,Egentliga Tavastland,694,Riihimäki,Riihimäki,1
PONOT,20200721,16270,VILLIKKALA,VILLIKKALA,,,19860101,1,FI1C3,Päijät-Häme,Päijänne-Tavastland,560,Orimattila,Orimattila,1
PONOT,20200721,21930,UUSIKARTANO,UUSIKARTANO,,,19890201,1,FI1C1,Varsinais-Suomi,Egentliga Finland,636,Pöytyä,Pöytyä,1
PONOT,20200721,27450,HAROLA,HAROLA,,,19860101,1,FI196,Satakunta,Satakunda,050,Eura,Eura,1
PONOT,20200721,31641,HUMPPILA,HUMPPILA,,,19950703,2,FI1C2,Kanta-Häme,Egentliga Tavastland,103,Humppila,Humppila,1
PONOT,20200721,53900,LAPPEENRANTA,LAPPEENRANTA,LPR,,19881101,1,FI1C5,Etelä-Karjala,Södra Karelen,405,Lappeenranta,Villmanstrand,1
PONOT,20200721,59520,SAARI KK,SAARI KK,,,19901119,1,FI1C5,Etelä-Karjala,Södra Karelen,580,Parikkala,Parikkala,1
PONOT,20200721,63101,KUORTANE,KUORTANE,,,19960920,2,FI194,Etelä-Pohjanmaa,Södra Österbotten,300,Kuortane,Kuortane,1
PONOT,20200721,72310,NIINIVESI,NIINIVESI,,,19880501,1,FI1D2,Pohjois-Savo,Norra Savolax,921,Vesanto,Vesanto,1
PONOT,20200721,77480,SAVUNIEMI,SAVUNIEMI,,,19880628,1,FI1D1,Etelä-Savo,Södra Savolax,171,Joroinen,Jorois,1
PONOT,20200721,82220,NIITTYLAHTI,NIITTYLAHTI,,,19880201,1,FI1D3,Pohjois-Karjala,Norra Karelen,167,Joensuu,Joensuu,1
PONOT,20200721,82501,KITEE,KITEE,,,19960401,2,FI1D3,Pohjois-Karjala,Norra Karelen,260,Kitee,Kitee,1
PONOT,20200721,86550,MIELUSKYLÄ,MIELUSKYLÄ,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,071,Haapavesi,Haapavesi,1
PONOT,20200721,92610,VORNA,VORNA,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,791,Siikalatva,Siikalatva,1
PONOT,20200721,05800,HYVINKÄÄ,HYVINKÄÄ,HVNK,,19970207,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,106,Hyvinkää,Hyvinge,1
PONOT,20200721,12600,LÄYLIÄINEN,LÄYLIÄINEN,,,19960506,1,FI1C2,Kanta-Häme,Egentliga Tavastland,433,Loppi,Loppi,1
PONOT,20200721,16790,MANSKIVI,MANSKIVI,,,19871101,1,FI1C3,Päijät-Häme,Päijänne-Tavastland,098,Hollola,Hollola,1
PONOT,20200721,17440,VÄHIMAA,VÄHIMAA,,,19880321,1,FI1C3,Päijät-Häme,Päijänne-Tavastland,016,Asikkala,Asikkala,1
PONOT,20200721,21230,LEMU,LEMU,,,19961029,1,FI1C1,Varsinais-Suomi,Egentliga Finland,481,Masku,Masku,1
PONOT,20200721,45911,VOIKKAA,VOIKKAA,,,20051216,2,FI1C4,Kymenlaakso,Kymmenedalen,286,Kouvola,Kouvola,1
PONOT,20200721,60280,SEINÄJOKI,SEINÄJOKI,SJK,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,743,Seinäjoki,Seinäjoki,1
PONOT,20200721,61180,HAAPALUOMA,HAAPALUOMA,,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,743,Seinäjoki,Seinäjoki,1
PONOT,20200721,63450,LÖYÄ,LÖYÄ,,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,300,Kuortane,Kuortane,1
PONOT,20200721,66470,JUKAJA,JUKAJA,,,19890901,1,FI195,Pohjanmaa,Österbotten,399,Laihia,Laihela,1
PONOT,20200721,78210,VARKAUS,VARKAUS,VRK,,19881101,1,FI1D2,Pohjois-Savo,Norra Savolax,915,Varkaus,Varkaus,1
PONOT,20200721,79190,VALKEAMÄKI,VALKEAMÄKI,,,19860101,1,FI1D2,Pohjois-Savo,Norra Savolax,420,Leppävirta,Leppävirta,1
PONOT,20200721,82840,PIRTTIAHO,PIRTTIAHO,,,19860101,1,FI1D3,Pohjois-Karjala,Norra Karelen,167,Joensuu,Joensuu,1
PONOT,20200721,86980,VÄLIAHO,VÄLIAHO,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,626,Pyhäjärvi,Pyhäjärvi,1
PONOT,20200721,91210,JAKKUKYLÄ,JAKKUKYLÄ,,,19961231,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,564,Oulu,Uleåborg,1
PONOT,20200721,01300,VANTAA,VANDA,,,19970418,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,092,Vantaa,Vanda,2
PONOT,20200721,03790,VIHTIJÄRVI,VIHTIJÄRVI,,,19880405,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,927,Vihti,Vichtis,1
PONOT,20200721,13210,HÄMEENLINNA,HÄMEENLINNA,HML,,19881001,1,FI1C2,Kanta-Häme,Egentliga Tavastland,109,Hämeenlinna,Tavastehus,1
PONOT,20200721,25560,KOSKI AS,KOSKI AS,,,20051216,1,FI1C1,Varsinais-Suomi,Egentliga Finland,734,Salo,Salo,1
PONOT,20200721,38720,VIHTELJÄRVI,VIHTELJÄRVI,,,19961030,1,FI196,Satakunta,Satakunda,214,Kankaanpää,Kankaanpää,1
PONOT,20200721,41900,PETÄJÄVESI,PETÄJÄVESI,,,19881101,1,FI193,Keski-Suomi,Mellersta Finland,592,Petäjävesi,Petäjävesi,1
PONOT,20200721,42600,MULTIA,MULTIA,,,19881101,1,FI193,Keski-Suomi,Mellersta Finland,495,Multia,Multia,1
PONOT,20200721,46900,INKEROINEN,INKEROINEN,,,20090701,1,FI1C4,Kymenlaakso,Kymmenedalen,286,Kouvola,Kouvola,1
PONOT,20200721,51880,KOIKKALA,KOIKKALA,,,19860101,1,FI1D1,Etelä-Savo,Södra Savolax,178,Juva,Juva,1
PONOT,20200721,52360,SOMEENJÄRVI,SOMEENJÄRVI,,,19860101,1,FI1D1,Etelä-Savo,Södra Savolax,491,Mikkeli,S:t Michel,1
PONOT,20200721,58300,SAVONRANTA,SAVONRANTA,,,19970514,1,FI1D1,Etelä-Savo,Södra Savolax,740,Savonlinna,Nyslott,1
PONOT,20200721,66710,KAITSOR,KAITSOR,,,19861001,1,FI195,Pohjanmaa,Österbotten,946,Vöyri,Vörå,2
PONOT,20200721,70870,HILTULANLAHTI,HILTULANLAHTI,HILTULANLH,,19860101,1,FI1D2,Pohjois-Savo,Norra Savolax,297,Kuopio,Kuopio,1
PONOT,20200721,75501,NURMES,NURMES,,,19951101,2,FI1D3,Pohjois-Karjala,Norra Karelen,541,Nurmes,Nurmes,1
PONOT,20200721,01530,VANTAA,VANDA,,,19881101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,092,Vantaa,Vanda,2
PONOT,20200721,01680,VANTAA,VANDA,,,19881101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,092,Vantaa,Vanda,2
PONOT,20200721,04301,TUUSULA,TUUSULA,,,20051216,2,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,858,Tuusula,Tusby,1
PONOT,20200721,10470,FISKARI,FISKARS,,,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,710,Raasepori,Raseborg,2
PONOT,20200721,29320,LEINEPERI,LEINEPERI,,,19960624,1,FI196,Satakunta,Satakunda,886,Ulvila,Ulvsby,1
PONOT,20200721,33251,TAMPERE,TAMPERE,,,19950802,2,FI197,Pirkanmaa,Birkaland,837,Tampere,Tammerfors,1
PONOT,20200721,37470,VESILAHTI,VESILAHTI,,,19881101,1,FI197,Pirkanmaa,Birkaland,922,Vesilahti,Vesilahti,1
PONOT,20200721,47490,MANKALA,MANKALA,,,19881101,1,FI1C4,Kymenlaakso,Kymmenedalen,142,Iitti,Iitti,1
PONOT,20200721,51460,LUUSNIEMI,LUUSNIEMI,,,19860101,1,FI1D1,Etelä-Savo,Södra Savolax,213,Kangasniemi,Kangasniemi,1
PONOT,20200721,66999,VAASA,VASA,VSA,VSA,19860101,1,FI195,Pohjanmaa,Österbotten,905,Vaasa,Vasa,2
PONOT,20200721,71460,PAUKARLAHTI,PAUKARLAHTI,,,19860101,1,FI1D2,Pohjois-Savo,Norra Savolax,420,Leppävirta,Leppävirta,1
PONOT,20200721,71760,AHKIONLAHTI,AHKIONLAHTI,,,19890701,1,FI1D2,Pohjois-Savo,Norra Savolax,297,Kuopio,Kuopio,1
PONOT,20200721,75990,HÖLJÄKKÄ,HÖLJÄKKÄ,,,19880901,1,FI1D3,Pohjois-Karjala,Norra Karelen,541,Nurmes,Nurmes,1
PONOT,20200721,94900,KEMI,KEMI,KM,,19860101,1,FI1D7,Lappi,Lappland,240,Kemi,Kemi,1
PONOT,20200721,97840,LEHTINIEMI,LEHTINIEMI,,,19860101,1,FI1D7,Lappi,Lappland,614,Posio,Posio,1
PONOT,20200721,70401,KUOPIO,KUOPIO,,,19990506,2,FI1D2,Pohjois-Savo,Norra Savolax,297,Kuopio,Kuopio,1
PONOT,20200721,04601,MÄNTSÄLÄ,MÄNTSÄLÄ,,,19970203,2,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,505,Mäntsälä,Mäntsälä,1
PONOT,20200721,29860,OTAMO,OTAMO,,,19860101,1,FI196,Satakunta,Satakunda,747,Siikainen,Siikainen,1
PONOT,20200721,37800,AKAA,AKAA,,,20121228,1,FI197,Pirkanmaa,Birkaland,020,Akaa,Akaa,1
PONOT,20200721,41231,UURAINEN,UURAINEN,,,19951220,2,FI193,Keski-Suomi,Mellersta Finland,892,Uurainen,Uurainen,1
PONOT,20200721,57710,SAVONLINNA,SAVONLINNA,SLN,,19980309,1,FI1D1,Etelä-Savo,Södra Savolax,740,Savonlinna,Nyslott,1
PONOT,20200721,64701,TEUVA,TEUVA,,,19970130,2,FI194,Etelä-Pohjanmaa,Södra Österbotten,846,Teuva,Östermark,1
PONOT,20200721,65170,VAASA,VASA,VSA,VSA,19900501,1,FI195,Pohjanmaa,Österbotten,905,Vaasa,Vasa,2
PONOT,20200721,85150,TYPPÖ,TYPPÖ,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,208,Kalajoki,Kalajoki,1
PONOT,20200721,89540,MOISIOVAARA,MOISIOVAARA,,,19961129,1,FI1D4,Kainuu,Kajanaland,105,Hyrynsalmi,Hyrynsalmi,1
PONOT,20200721,95300,TERVOLA,TERVOLA,,,19881101,1,FI1D7,Lappi,Lappland,845,Tervola,Tervola,1
PONOT,20200721,32770,HUHTAMO,HUHTAMO,,,19890201,1,FI196,Satakunta,Satakunda,102,Huittinen,Huittinen,1
PONOT,20200721,41860,TIKKALA,TIKKALA,,,20090622,1,FI193,Keski-Suomi,Mellersta Finland,179,Jyväskylä,Jyväskylä,1
PONOT,20200721,42440,KOSKENPÄÄ,KOSKENPÄÄ,,,19960603,1,FI193,Keski-Suomi,Mellersta Finland,182,Jämsä,Jämsä,1
PONOT,20200721,46810,UMMELJOKI,UMMELJOKI,,,20090701,1,FI1C4,Kymenlaakso,Kymmenedalen,286,Kouvola,Kouvola,1
PONOT,20200721,51820,HATSOLA,HATSOLA,,,19860101,1,FI1D1,Etelä-Savo,Södra Savolax,178,Juva,Juva,1
PONOT,20200721,52320,VITSIÄLÄ,VITSIÄLÄ,,,19860101,1,FI1D1,Etelä-Savo,Södra Savolax,491,Mikkeli,S:t Michel,1
PONOT,20200721,58201,KERIMÄKI,KERIMÄKI,,,19960229,2,FI1D1,Etelä-Savo,Södra Savolax,740,Savonlinna,Nyslott,1
PONOT,20200721,70800,KUOPIO,KUOPIO,KUO,,19881101,1,FI1D2,Pohjois-Savo,Norra Savolax,297,Kuopio,Kuopio,1
PONOT,20200721,97370,UNARIN-LUUSUA,UNARIN-LUUSUA,,,19881101,1,FI1D7,Lappi,Lappland,698,Rovaniemi,Rovaniemi,1
PONOT,20200721,99800,IVALO,IVALO,,,19860101,1,FI1D7,Lappi,Lappland,148,Inari,Enare,1
PONOT,20200721,01510,VANTAA,VANDA,,,19881101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,092,Vantaa,Vanda,2
PONOT,20200721,01661,VANTAA,VANDA,,,19881101,2,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,092,Vantaa,Vanda,2
PONOT,20200721,04260,KERAVA,KERAVA,,,19881101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,245,Kerava,Kervo,1
PONOT,20200721,24280,SALO,SALO,,,19891001,1,FI1C1,Varsinais-Suomi,Egentliga Finland,734,Salo,Salo,1
PONOT,20200721,29270,HORMISTO,HORMISTO,,,19860101,1,FI196,Satakunta,Satakunda,531,Nakkila,Nakkila,1
PONOT,20200721,33231,TAMPERE,TAMPERE,,,19961121,2,FI197,Pirkanmaa,Birkaland,837,Tampere,Tammerfors,1
PONOT,20200721,43100,SAARIJÄRVI,SAARIJÄRVI,,,19881101,1,FI193,Keski-Suomi,Mellersta Finland,729,Saarijärvi,Saarijärvi,1
PONOT,20200721,47440,SÄÄSKJÄRVI,SÄÄSKJÄRVI,,,20030910,1,FI1C4,Kymenlaakso,Kymmenedalen,142,Iitti,Iitti,1
PONOT,20200721,66950,MUNSALA,MUNSALA,,,19960610,1,FI195,Pohjanmaa,Österbotten,893,Uusikaarlepyy,Nykarleby,2
PONOT,20200721,71330,RÄSÄLÄ,RÄSÄLÄ,,,19960101,1,FI1D2,Pohjois-Savo,Norra Savolax,297,Kuopio,Kuopio,1
PONOT,20200721,94800,KEMI,KEMI,KM,,19960105,1,FI1D7,Lappi,Lappland,240,Kemi,Kemi,1
PONOT,20200721,97650,JUOTAS,JUOTAS,,,19860101,1,FI1D7,Lappi,Lappland,698,Rovaniemi,Rovaniemi,1
PONOT,20200721,97810,SUORSA,SUORSA,,,19860101,1,FI1D7,Lappi,Lappland,614,Posio,Posio,1
PONOT,20200721,99990,NUORGAM,NUORGAM,,,19860101,1,FI1D7,Lappi,Lappland,890,Utsjoki,Utsjoki,1
PONOT,20200721,15111,LAHTI,LAHTI,,,19900101,2,FI1C3,Päijät-Häme,Päijänne-Tavastland,398,Lahti,Lahtis,1
PONOT,20200721,25370,PERTTELI,PERTTELI,,,19860101,1,FI1C1,Varsinais-Suomi,Egentliga Finland,734,Salo,Salo,1
PONOT,20200721,29811,SIIKAINEN,SIIKAINEN,,,19970210,2,FI196,Satakunta,Satakunda,747,Siikainen,Siikainen,1
PONOT,20200721,33470,YLÖJÄRVI,YLÖJÄRVI,,,19880506,1,FI197,Pirkanmaa,Birkaland,980,Ylöjärvi,Ylöjärvi,1
PONOT,20200721,37370,VESILAHTI,VESILAHTI,,,20160802,1,FI197,Pirkanmaa,Birkaland,922,Vesilahti,Vesilahti,1
PONOT,20200721,37740,HAUKILA,HAUKILA,,,19860101,1,FI197,Pirkanmaa,Birkaland,908,Valkeakoski,Valkeakoski,1
PONOT,20200721,41210,JOKIHAARA,JOKIHAARA,,,19900501,1,FI193,Keski-Suomi,Mellersta Finland,892,Uurainen,Uurainen,1
PONOT,20200721,57510,SAVONLINNA,SAVONLINNA,SLN,,19881101,1,FI1D1,Etelä-Savo,Södra Savolax,740,Savonlinna,Nyslott,1
PONOT,20200721,61950,JUONIKYLÄ,JUONIKYLÄ,,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,232,Kauhajoki,Kauhajoki,1
PONOT,20200721,64610,YLIMARKKU,ÖVERMARK,,,19960117,1,FI195,Pohjanmaa,Österbotten,545,Närpiö,Närpes,4
PONOT,20200721,74630,HEINÄKYLÄ,HEINÄKYLÄ,,,19981001,1,FI1D2,Pohjois-Savo,Norra Savolax,263,Kiuruvesi,Kiuruvesi,1
PONOT,20200721,98101,KEMIJÄRVI,KEMIJÄRVI,,,19950929,2,FI1D7,Lappi,Lappland,320,Kemijärvi,Kemijärvi,1
PONOT,20200721,08480,LOHJA,LOJO,,,20060929,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,444,Lohja,Lojo,2
PONOT,20200721,15500,LAHTI,LAHTI,LH,,19881101,1,FI1C3,Päijät-Häme,Päijänne-Tavastland,398,Lahti,Lahtis,1
PONOT,20200721,20100,TURKU,ÅBO,TKU,,19970925,1,FI1C1,Varsinais-Suomi,Egentliga Finland,853,Turku,Åbo,2
PONOT,20200721,22930,FISKÖ,FISKÖ,,,19860926,1,FI200,Ahvenanmaa,Åland,035,Brändö,Brändö,4
PONOT,20200721,33711,TAMPERE,TAMPERE,,,19950803,2,FI197,Pirkanmaa,Birkaland,837,Tampere,Tammerfors,1
PONOT,20200721,49401,HAMINA,HAMINA,,,20051216,2,FI1C4,Kymenlaakso,Kymmenedalen,075,Hamina,Fredrikshamn,1
PONOT,20200721,62240,HUHMARKOSKI,HUHMARKOSKI,,,19880701,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,233,Kauhava,Kauhava,1
PONOT,20200721,65410,SUNDOM,SUNDOM,,,19961101,1,FI195,Pohjanmaa,Österbotten,905,Vaasa,Vasa,2
PONOT,20200721,81290,UKKOLA,UKKOLA,,,19860101,1,FI1D3,Pohjois-Karjala,Norra Karelen,167,Joensuu,Joensuu,1
PONOT,20200721,85540,NIVALA,NIVALA,,,20011105,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,535,Nivala,Nivala,1
PONOT,20200721,00033,MTV,MTV,,,20131105,3,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,00800,HELSINKI,HELSINGFORS,HKI,HFORS,19970601,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,02380,ESPOO,ESBO,,,19860101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,049,Espoo,Esbo,2
