Tietuetunnus,Ajopäivämäärä,Postinumero,Postinumeron nimi suomeksi,Postinumeron nimi ruotsiksi,Postinumeron nimen lyhenne suomeksi,Postinumeron nimen lyhenne ruotsiksi,Voimaantulopäivämäärä,Tyyppikoodi,Hallinnollisen alueen koodi ,Hallinnollisen alueen nimi suomeksi,Hallinnollisen alueen ruotsiksi,Kunnan koodi,Kunnan nimi suomeksi,Kunnan nimi ruotsiksi,Kunnan kielisuhdekoodi
PONOT,20200721,53101,LAPPEENRANTA,LAPPEENRANTA,,,19960308,2,FI1C5,Etelä-Karjala,Södra Karelen,405,Lappeenranta,Villmanstrand,1
PONOT,20200721,68390,RAHKONEN,RAHKONEN,,,19860101,1,FI1D5,Keski-Pohjanmaa,Mellersta Österbotten,272,Kokkola,Karleby,2
PONOT,20200721,71820,PÖLJÄ,PÖLJÄ,,,19870501,1,FI1D2,Pohjois-Savo,Norra Savolax,749,Siilinjärvi,Siilinjärvi,1
PONOT,20200721,76150,PIEKSÄMÄKI,PIEKSÄMÄKI,PMK,,19970616,1,FI1D1,Etelä-Savo,Södra Savolax,593,Pieksämäki,Pieksämäki,1
PONOT,20200721,97901,POSIO,POSIO,,,19950929,2,FI1D7,Lappi,Lappland,614,Posio,Posio,1
PONOT,20200721,27840,KÖYLIÖ,KÖYLIÖ,,,19860101,1,FI196,Satakunta,Satakunda,783,Säkylä,Säkylä,1
PONOT,20200721,33841,TAMPERE,TAMPERE,,,19961121,2,FI197,Pirkanmaa,Birkaland,837,Tampere,Tammerfors,1
PONOT,20200721,37900,AKAA,AKAA,AKAA,,20121228,1,FI197,Pirkanmaa,Birkaland,020,Akaa,Akaa,1
PONOT,20200721,41550,HANNULA,HANNULA,,,19900501,1,FI193,Keski-Suomi,Mellersta Finland,077,Hankasalmi,Hankasalmi,1
PONOT,20200721,45360,VALKEALA,VALKEALA,,,19970428,1,FI1C4,Kymenlaakso,Kymmenedalen,286,Kouvola,Kouvola,1
PONOT,20200721,66290,HARRSTRÖM,HARRSTRÖM,,,19861001,1,FI195,Pohjanmaa,Österbotten,280,Korsnäs,Korsnäs,2
PONOT,20200721,81460,KÄENKOSKI,KÄENKOSKI,,,19900501,1,FI1D3,Pohjois-Karjala,Norra Karelen,146,Ilomantsi,Ilomants,1
PONOT,20200721,90100,OULU,OULU,OU,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,564,Oulu,Uleåborg,1
PONOT,20200721,93195,KOKKOKYLÄ,KOKKOKYLÄ,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,615,Pudasjärvi,Pudasjärvi,1
PONOT,20200721,01350,VANTAA,VANDA,,,19881101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,092,Vantaa,Vanda,2
PONOT,20200721,20521,TURKU,ÅBO,,,19951101,2,FI1C1,Varsinais-Suomi,Egentliga Finland,853,Turku,Åbo,2
PONOT,20200721,23200,VINKKILÄ,VINKKILÄ,,,19970505,1,FI1C1,Varsinais-Suomi,Egentliga Finland,918,Vehmaa,Vehmaa,1
PONOT,20200721,28361,PORI,PORI,,,19881101,2,FI196,Satakunta,Satakunda,609,Pori,Björneborg,1
PONOT,20200721,38370,TERVAHAUTA,TERVAHAUTA,,,19961024,1,FI197,Pirkanmaa,Birkaland,790,Sastamala,Sastamala,1
PONOT,20200721,54960,VEHKATAIPALE,VEHKATAIPALE,,,19860101,1,FI1C5,Etelä-Karjala,Södra Karelen,831,Taipalsaari,Taipalsaari,1
PONOT,20200721,65611,MUSTASAARI,KORSHOLM,,,19970130,2,FI195,Pohjanmaa,Österbotten,499,Mustasaari,Korsholm,2
PONOT,20200721,66240,PETOLAHTI,PETALAX,,,19970926,1,FI195,Pohjanmaa,Österbotten,475,Maalahti,Malax,2
PONOT,20200721,66501,VÄHÄKYRÖ,VÄHÄKYRÖ,,,20051216,2,FI195,Pohjanmaa,Österbotten,905,Vaasa,Vasa,2
PONOT,20200721,85801,HAAPAJÄRVI,HAAPAJÄRVI,,,19960101,2,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,069,Haapajärvi,Haapajärvi,1
PONOT,20200721,90401,OULU,OULU,,,19961001,2,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,564,Oulu,Uleåborg,1
PONOT,20200721,13880,HATTULA,HATTULA,,,19860101,1,FI1C2,Kanta-Häme,Egentliga Tavastland,082,Hattula,Hattula,1
PONOT,20200721,20781,KAARINA,KAARINA,,,20051216,2,FI1C1,Varsinais-Suomi,Egentliga Finland,202,Kaarina,S:t Karins,1
PONOT,20200721,23930,PYHÄMAA,PYHÄMAA,,,19860101,1,FI1C1,Varsinais-Suomi,Egentliga Finland,895,Uusikaupunki,Nystad,1
PONOT,20200721,25130,MUURLA,MUURLA,,,19961018,1,FI1C1,Varsinais-Suomi,Egentliga Finland,734,Salo,Salo,1
PONOT,20200721,32860,KORKEAOJA,KORKEAOJA,,,19890201,1,FI196,Satakunta,Satakunda,271,Kokemäki,Kumo,1
PONOT,20200721,49901,VIROLAHTI,VIROLAHTI,,,19951013,2,FI1C4,Kymenlaakso,Kymmenedalen,935,Virolahti,Virolahti,1
PONOT,20200721,50670,OTAVA,OTAVA,,,19881101,1,FI1D1,Etelä-Savo,Södra Savolax,491,Mikkeli,S:t Michel,1
PONOT,20200721,56100,RUOKOLAHTI,RUOKOLAHTI,,,19881101,1,FI1C5,Etelä-Karjala,Södra Karelen,700,Ruokolahti,Ruokolahti,1
PONOT,20200721,61430,ISOREHTO,ISOREHTO,,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,743,Seinäjoki,Seinäjoki,1
PONOT,20200721,64320,DAGSMARK,DAGSMARK,,,19861001,1,FI195,Pohjanmaa,Österbotten,287,Kristiinankaupunki,Kristinestad,2
PONOT,20200721,73900,RAUTAVAARA,RAUTAVAARA,,,19890101,1,FI1D2,Pohjois-Savo,Norra Savolax,687,Rautavaara,Rautavaara,1
PONOT,20200721,79810,KARVIONKANAVA,KARVIONKANAVA,KARVIONKNV,,19960603,1,FI1D1,Etelä-Savo,Södra Savolax,090,Heinävesi,Heinävesi,1
PONOT,20200721,83760,SOLA,SOLA,,,19880101,1,FI1D3,Pohjois-Karjala,Norra Karelen,607,Polvijärvi,Polvijärvi,1
PONOT,20200721,86350,KILPUA,KILPUA,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,563,Oulainen,Oulainen,1
PONOT,20200721,90570,OULU,OULU,,,20000417,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,564,Oulu,Uleåborg,1
PONOT,20200721,94100,KEMI,KEMI,KM,,19970411,1,FI1D7,Lappi,Lappland,240,Kemi,Kemi,1
PONOT,20200721,02780,ESPOO,ESBO,,,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,049,Espoo,Esbo,2
PONOT,20200721,07690,KANKKILA,KANKBÖLE,,,19860101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,504,Myrskylä,Mörskom,2
PONOT,20200721,07945,KUGGOM,KUGGOM,,,19990101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,434,Loviisa,Lovisa,2
PONOT,20200721,14700,HAUHO,HAUHO,,,19970401,1,FI1C2,Kanta-Häme,Egentliga Tavastland,109,Hämeenlinna,Tavastehus,1
PONOT,20200721,35820,MÄNTTÄ,MÄNTTÄ,,,19900501,1,FI197,Pirkanmaa,Birkaland,508,Mänttä-Vilppula,Mänttä-Vilppula,1
PONOT,20200721,39580,RIITIALA,RIITIALA,,,19981123,1,FI197,Pirkanmaa,Birkaland,143,Ikaalinen,Ikalis,1
PONOT,20200721,43130,TARVAALA,TARVAALA,,,19860101,1,FI193,Keski-Suomi,Mellersta Finland,729,Saarijärvi,Saarijärvi,1
PONOT,20200721,57100,SAVONLINNA,SAVONLINNA,SLN,,19860101,1,FI1D1,Etelä-Savo,Södra Savolax,740,Savonlinna,Nyslott,1
PONOT,20200721,61730,YLI-VALLI,YLI-VALLI,,,19990201,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,301,Kurikka,Kurikka,1
PONOT,20200721,64760,PELTOLA,PELTOLA,,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,846,Teuva,Östermark,1
PONOT,20200721,70151,KUOPIO,KUOPIO,,,19960101,2,FI1D2,Pohjois-Savo,Norra Savolax,297,Kuopio,Kuopio,1
PONOT,20200721,74340,SUKEVA,SUKEVA,,,19961101,1,FI1D2,Pohjois-Savo,Norra Savolax,762,Sonkajärvi,Sonkajärvi,1
PONOT,20200721,80160,JOENSUU,JOENSUU,JS,,19881101,1,FI1D3,Pohjois-Karjala,Norra Karelen,167,Joensuu,Joensuu,1
PONOT,20200721,80910,KULHO,KULHO,,,19860101,1,FI1D3,Pohjois-Karjala,Norra Karelen,276,Kontiolahti,Kontiolahti,1
PONOT,20200721,99510,RAUDANJOKI,RAUDANJOKI,,,19860101,1,FI1D7,Lappi,Lappland,758,Sodankylä,Sodankylä,1
PONOT,20200721,00351,HELSINKI,HELSINGFORS,,,19881101,2,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,00530,HELSINKI,HELSINGFORS,HKI,HFORS,19970228,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,03320,SELKI,SELKI,,,19880405,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,927,Vihti,Vichtis,1
PONOT,20200721,08800,LOHJA,LOJO,,,20060929,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,444,Lohja,Lojo,2
PONOT,20200721,19701,SYSMÄ,SYSMÄ,,,19900101,2,FI1C3,Päijät-Häme,Päijänne-Tavastland,781,Sysmä,Sysmä,1
PONOT,20200721,36600,PÄLKÄNE,PÄLKÄNE,,,19881101,1,FI197,Pirkanmaa,Birkaland,635,Pälkäne,Pälkäne,1
PONOT,20200721,43640,HUMPPI,HUMPPI,,,19860101,1,FI193,Keski-Suomi,Mellersta Finland,226,Karstula,Karstula,1
PONOT,20200721,44220,SUOLAHTI,SUOLAHTI,,,19881101,1,FI193,Keski-Suomi,Mellersta Finland,992,Äänekoski,Äänekoski,1
PONOT,20200721,48771,KOTKA,KOTKA,,,20060501,2,FI1C4,Kymenlaakso,Kymmenedalen,285,Kotka,Kotka,1
PONOT,20200721,54460,YLIJÄRVI,YLIJÄRVI,,,19860101,1,FI1C5,Etelä-Karjala,Södra Karelen,405,Lappeenranta,Villmanstrand,1
PONOT,20200721,74720,NIEMISKYLÄ,NIEMISKYLÄ,,,19860101,1,FI1D2,Pohjois-Savo,Norra Savolax,263,Kiuruvesi,Kiuruvesi,1
PONOT,20200721,95440,TORNIO,TORNIO,,,20100129,1,FI1D7,Lappi,Lappland,851,Tornio,Torneå,1
PONOT,20200721,99710,VAALAJÄRVI,VAALAJÄRVI,,,19860101,1,FI1D7,Lappi,Lappland,758,Sodankylä,Sodankylä,1
PONOT,20200721,00671,HELSINKI,HELSINGFORS,,,19950314,2,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,02160,ESPOO,ESBO,,,19860101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,049,Espoo,Esbo,2
PONOT,20200721,02360,ESPOO,ESBO,,,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,049,Espoo,Esbo,2
PONOT,20200721,21710,KORPPOO,KORPO,,,19970428,1,FI1C1,Varsinais-Suomi,Egentliga Finland,445,Parainen,Pargas,2
PONOT,20200721,26101,RAUMA,RAUMA,,,19951101,2,FI196,Satakunta,Satakunda,684,Rauma,Raumo,1
PONOT,20200721,31110,MATKU,MATKU,,,19881101,1,FI1C2,Kanta-Häme,Egentliga Tavastland,061,Forssa,Forssa,1
PONOT,20200721,31410,YLÖPIRTTI,YLÖPIRTTI,,,19860101,1,FI1C1,Varsinais-Suomi,Egentliga Finland,761,Somero,Somero,1
PONOT,20200721,40520,JYVÄSKYLÄ,JYVÄSKYLÄ,JKL,,19870301,1,FI193,Keski-Suomi,Mellersta Finland,179,Jyväskylä,Jyväskylä,1
PONOT,20200721,44610,KÄRNÄ,KÄRNÄ,,,19860101,1,FI193,Keski-Suomi,Mellersta Finland,931,Viitasaari,Viitasaari,1
PONOT,20200721,49461,HAMINA,HAMINA,,,20051216,2,FI1C4,Kymenlaakso,Kymmenedalen,075,Hamina,Fredrikshamn,1
PONOT,20200721,88670,JUURIKKALAHTI,JUURIKKALAHTI,JUURIKKALH,,19880318,1,FI1D4,Kainuu,Kajanaland,765,Sotkamo,Sotkamo,1
PONOT,20200721,91800,TYRNÄVÄ,TYRNÄVÄ,,,19881101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,859,Tyrnävä,Tyrnävä,1
PONOT,20200721,92240,LASIKANGAS,LASIKANGAS,,,19971001,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,678,Raahe,Brahestad,1
PONOT,20200721,95670,PESSALOMPOLO,PESSALOMPOLO,,,19860101,1,FI1D7,Lappi,Lappland,976,Ylitornio,Övertorneå,1
PONOT,20200721,98580,LUIRO,LUIRO,,,19860101,1,FI1D7,Lappi,Lappland,583,Pelkosenniemi,Pelkosenniemi,1
PONOT,20200721,98930,KOTALANKYLÄ,KOTALANKYLÄ,,,19860101,1,FI1D7,Lappi,Lappland,732,Salla,Salla,1
PONOT,20200721,00029,HUS,HUS,,,20000602,3,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,00780,HELSINKI,HELSINGFORS,HKI,HFORS,19890101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200721,22101,MARIEHAMN,MARIEHAMN,,,18991231,2,FI200,Ahvenanmaa,Åland,478,Maarianhamina,Mariehamn,4
PONOT,20200721,27101,EURAJOKI,EURAJOKI,,,20051216,2,FI196,Satakunta,Satakunda,051,Eurajoki,Euraåminne,1
PONOT,20200721,34601,RUOVESI,RUOVESI,,,19881101,2,FI197,Pirkanmaa,Birkaland,702,Ruovesi,Ruovesi,1
PONOT,20200721,39101,HÄMEENKYRÖ,HÄMEENKYRÖ,,,20051216,2,FI197,Pirkanmaa,Birkaland,108,Hämeenkyrö,Tavastkyro,1
PONOT,20200721,59710,UUKUNIEMI,UUKUNIEMI,,,20031003,1,FI1C5,Etelä-Karjala,Södra Karelen,580,Parikkala,Parikkala,1
PONOT,20200721,62760,MENKIJÄRVI,MENKIJÄRVI,,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,005,Alajärvi,Alajärvi,1
PONOT,20200721,77600,SUONENJOKI,SUONENJOKI,,,19881101,1,FI1D2,Pohjois-Savo,Norra Savolax,778,Suonenjoki,Suonenjoki,1
PONOT,20200721,92700,KESTILÄ,KESTILÄ,,,19881101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,791,Siikalatva,Siikalatva,1
PONOT,20200721,95901,KOLARI,KOLARI,,,19950925,2,FI1D7,Lappi,Lappland,273,Kolari,Kolari,1
PONOT,20200721,99195,POKKA,POKKA,,,19860101,1,FI1D7,Lappi,Lappland,261,Kittilä,Kittilä,1
PONOT,20200721,00100,HELSINKI,HELSINGFORS,HKI,HFORS,19860101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
